plot_name,date,volume
2023_101_MeSUS1::SUS1_293_R1,20230412,0.0019478697795420885
2023_102_SUS1+UGP1+FRK1_251_R1,20230412,0.0065146698616445065
2023_103_pOsAnt::HvAlaAT_4810_R1,20230412,0.010508650913834572
2023_104_SUS1+UGP1_237_R1,20230412,0.0017395203467458487
2023_105_StSSS::NTT_4875_R1,20230412,0.004318264778703451
2023_106_pStGBSS1::GPT/pStB33::NTT_4838_R1,20230412,0.008168667554855347
2023_107_SUS1+UGP1_220_R1,20230412,0.006465032696723938
2023_108_MeGBSS1::GPT_4864_R1,20230412,0.0020061982795596123
2023_564_pStGBSS1::GPT/pStB33::NTT_4838_R1,20230412,0.0010462829377502203
2023_565_SUS1+UGP1+FRK1_251_R1,20230412,0.00046288446174003184
2023_566_pMeGBSS1::GPT/pStSSS::NTT_4879_R1,20230412,0.0010071960277855396
2023_567_#46_4389_R1,20230412,0.0005938995163887739
2023_568_#46_4391_R11,20230412,0.029511108994483948
2023_569_TMT_4818_R1,20230412,0.013534197583794594
2023_570_AAP1_4349_R12,20230412,0.004640649072825909
2023_571_pStGBSS1::GPT/pStB33::NTT_4847_R1,20230412,0.006488186307251453
2023_572_MeGBSS1::GPT_4861_R1,20230412,0.0019036864396184683
2023_573_StSSS::NTT_4868_R1,20230412,0.005075481720268726
2023_574_WT_FEC_4792_R18,20230412,0.003085226286202669
2023_575_SUS1+UGP1_237_R1,20230412,0.0002488220052327961
2023_576_VC_4218_R14,20230412,0.002694091759622097
2023_577_MeSUS1::SUS1_293_R1,20230412,0.008831439539790154
2023_578_#46_4375_R11,20230412,0.001977697480469942
2023_579_SUS1+UGP1+FRK1_259_R1,20230412,0.0012023376766592264
2023_580_WT_FEC_4782_R18,20230412,0.005101882852613926
2023_581_VC_4239_R1,20230412,0.00434042327105999
2023_582_VC_4243_R13,20230412,0.0006291625904850662
2023_583_AAP1_4354_R11,20230412,0.0015860321000218391
2023_584_AKT2_4262_R17,20230412,0.0037391295190900564
2023_585_pSWEET11::GUS_4849_R1,20230412,0.0009783783461898565
2023_586_StSSS::NTT_4876_R1,20230412,0.0020495299249887466
2023_587_WT_R1,20230412,0.0010109618306159973
2023_588_TMT_4823_R1,20230412,0.001569506828673184
2023_589_VC_4243_R1,20230412,0.0009165160590782762
