plot_name,no_plant,date,volume
2024_EF1-1_C2-14_ETH4275_S,plant_1,20240517,0.47250571846961975
2024_EF1-1_C2-14_ETH4275_S,plant_2,20240517,0.4462367296218872
2024_EF1-1_C2-14_ETH4275_S,plant_3,20240517,0.41648566722869873
2024_EF1-1_C2-14_ETH4275_S,plant_4,20240517,0.4827256202697754
2024_EF1-1_C2-14_ETH4275_S,plant_5,20240517,0.5252569913864136
2024_EF1-1_C2-14_ETH4275_S,plant_6,20240517,0.38236314058303833
2024_EF1-1_C2-14_ETH4275_S,plant_7,20240517,0.39992910623550415
2024_EF1-1_C2-14_ETH4275_S,plant_8,20240517,0.39671385288238525
2024_EF1-1_C2-14_ETH4275_S,plant_9,20240517,0.41668546199798584
2024_EF1-2_C2-8_ETH4255_S,plant_1,20240517,0.43207311630249023
2024_EF1-2_C2-8_ETH4255_S,plant_2,20240517,0.46157175302505493
2024_EF1-2_C2-8_ETH4255_S,plant_3,20240517,0.5113383531570435
2024_EF1-2_C2-8_ETH4255_S,plant_4,20240517,0.44153690338134766
2024_EF1-2_C2-8_ETH4255_S,plant_5,20240517,0.3789222538471222
2024_EF1-2_C2-8_ETH4255_S,plant_6,20240517,0.31797921657562256
2024_EF1-2_C2-8_ETH4255_S,plant_7,20240517,0.36455145478248596
2024_EF1-2_C2-8_ETH4255_S,plant_8,20240517,0.5193455219268799
2024_EF1-2_C2-8_ETH4255_S,plant_9,20240517,0.3178618848323822
2024_EF1-3_C2-8_ETH4265_S,plant_1,20240517,0.3616390824317932
2024_EF1-3_C2-8_ETH4265_S,plant_2,20240517,0.33327919244766235
2024_EF1-3_C2-8_ETH4265_S,plant_3,20240517,0.2566065490245819
2024_EF1-3_C2-8_ETH4265_S,plant_4,20240517,0.35383737087249756
2024_EF1-3_C2-8_ETH4265_S,plant_5,20240517,0.2678416967391968
2024_EF1-3_C2-8_ETH4265_S,plant_6,20240517,0.2683252692222595
2024_EF1-3_C2-8_ETH4265_S,plant_7,20240517,0.2988070249557495
2024_EF1-3_C2-8_ETH4265_S,plant_8,20240517,0.2874375581741333
2024_EF1-3_C2-8_ETH4265_S,plant_9,20240517,0.26014968752861023
2024_EF1-4_C2-14_ETH4272_S,plant_1,20240517,0.3726864457130432
2024_EF1-4_C2-14_ETH4272_S,plant_2,20240517,0.2987182140350342
2024_EF1-4_C2-14_ETH4272_S,plant_3,20240517,0.29444971680641174
2024_EF1-4_C2-14_ETH4272_S,plant_4,20240517,0.26140034198760986
2024_EF1-4_C2-14_ETH4272_S,plant_5,20240517,0.30440595746040344
2024_EF1-4_C2-14_ETH4272_S,plant_6,20240517,0.27334460616111755
2024_EF1-4_C2-14_ETH4272_S,plant_7,20240517,0.3397619128227234
2024_EF1-4_C2-14_ETH4272_S,plant_8,20240517,0.4731714129447937
2024_EF1-4_C2-14_ETH4272_S,plant_9,20240517,0.298073947429657
2024_EF1-5_VC_ETH4234_S,plant_1,20240517,0.2433227300643921
2024_EF1-5_VC_ETH4234_S,plant_2,20240517,0.20102594792842865
2024_EF1-5_VC_ETH4234_S,plant_3,20240517,0.19089654088020325
2024_EF1-5_VC_ETH4234_S,plant_4,20240517,0.19062818586826324
2024_EF1-5_VC_ETH4234_S,plant_5,20240517,0.1259748935699463
2024_EF1-5_VC_ETH4234_S,plant_6,20240517,0.11711940914392471
2024_EF1-5_VC_ETH4234_S,plant_7,20240517,0.17543873190879822
2024_EF1-5_VC_ETH4234_S,plant_8,20240517,0.22332507371902466
2024_EF1-5_VC_ETH4234_S,plant_9,20240517,0.16324281692504883
2024_EF1-6_C2-18_ETH4349_S,plant_1,20240517,0.24029675126075745
2024_EF1-6_C2-18_ETH4349_S,plant_2,20240517,0.16813358664512634
2024_EF1-6_C2-18_ETH4349_S,plant_3,20240517,0.05444511026144028
2024_EF1-6_C2-18_ETH4349_S,plant_4,20240517,0.1507849395275116
2024_EF1-6_C2-18_ETH4349_S,plant_5,20240517,0.13667769730091095
2024_EF1-6_C2-18_ETH4349_S,plant_6,20240517,0.07389987260103226
2024_EF1-6_C2-18_ETH4349_S,plant_7,20240517,0.17686396837234497
2024_EF1-6_C2-18_ETH4349_S,plant_8,20240517,0.11155087500810623
2024_EF1-6_C2-18_ETH4349_S,plant_9,20240517,0.09918071329593658
2024_EF1-7_C2-18_ETH4354_S,plant_1,20240517,0.04663948342204094
2024_EF1-7_C2-18_ETH4354_S,plant_2,20240517,0.07285581529140472
2024_EF1-7_C2-18_ETH4354_S,plant_3,20240517,0.10048854351043701
2024_EF1-7_C2-18_ETH4354_S,plant_4,20240517,0.06117787957191467
2024_EF1-7_C2-18_ETH4354_S,plant_5,20240517,0.03073158860206604
2024_EF1-7_C2-18_ETH4354_S,plant_6,20240517,0.07738780230283737
2024_EF1-7_C2-18_ETH4354_S,plant_7,20240517,0.03919120132923126
2024_EF1-7_C2-18_ETH4354_S,plant_8,20240517,0.07857615500688553
2024_EF1-7_C2-18_ETH4354_S,plant_9,20240517,0.08120537549257278
2024_EF1-8_C2-18_ETH4358_S,plant_1,20240517,0.42784494161605835
2024_EF1-8_C2-18_ETH4358_S,plant_2,20240517,0.4799760580062866
2024_EF1-8_C2-18_ETH4358_S,plant_3,20240517,0.4274899661540985
2024_EF1-8_C2-18_ETH4358_S,plant_4,20240517,0.4446948766708374
2024_EF1-8_C2-18_ETH4358_S,plant_5,20240517,0.41317009925842285
2024_EF1-8_C2-18_ETH4358_S,plant_6,20240517,0.41307270526885986
2024_EF1-8_C2-18_ETH4358_S,plant_7,20240517,0.42566704750061035
