line	year	accession	stock	plot	sfw	rfw	dmc	tfw	trdm	hi	rs_ratio	row	col	rep	line_num
VC_ETH4234	2023	VC_34	VC	1629	6.6	2.98	34.44444444	9.58	1.026444444	0.311064718	0.451515152	23	25	16	4234
VC_ETH4234	2023	VC_34	VC	1800	4	4.122	37.07865169	8.122	1.528382022	0.507510465	1.0305	18	29	17	4234
VC_ETH4234	2023	VC_34	VC	1826	4.63	4.116	31.06796117	8.746	1.278757282	0.470615138	0.888984881	44	29	18	4234
VC_ETH4234	2024	VC_34	VC	6101	1.69	3.59	32.82442748	5.28	1.178396947	0.679924242	2.124260355	37	11	1	4234
VC_ETH4234	2024	VC_34	VC	7079	2.34	4.51	40.15748031	6.85	1.811102362	0.658394161	1.927350427	12	12	2	4234
VC_ETH4234	2024	VC_34	VC	9058	1.91	3.52	40.32258065	5.43	1.419354839	0.64825046	1.842931937	44	15	3	4234
VC_ETH4234	2024	VC_34	VC	11006	2.63	3.4	35.13513514	6.03	1.194594595	0.56384743	1.292775665	61	18	4	4234
VC_ETH4234	2024	VC_34	VC	12071	1.99	3.09	35.65891473	5.08	1.101860465	0.608267717	1.552763819	22	20	5	4234
VC_ETH4234	2024	VC_34	VC	13051	3.14	4.83	41.37931034	7.97	1.99862069	0.606022585	1.538216561	61	21	6	4234
VC_ETH4234	2024	VC_34	VC	14022	2.6	4.3	43.96551724	6.9	1.890517241	0.623188406	1.653846154	6	23	7	4234
VC_ETH4234	2024	VC_34	VC	15036	2.22	3.53	39.55223881	5.75	1.39619403	0.613913043	1.59009009	7	24	8	4234
VC_ETH4234	2024	VC_34	VC	16013	2.28	4.06	33.83458647	6.34	1.373684211	0.640378549	1.780701754	56	26	9	4234
VC_ETH4234	2024	VC_34	VC	17080	1.77	3.76	37.79527559	5.53	1.421102362	0.679927667	2.124293785	15	28	10	4234
VC_ETH4243	2022	VC_43	VC	5057	0.44	0.22	38.72727273	0.66	0.0852	0.333333333	0.5	50	11	1	4243
VC_ETH4243	2022	VC_43	VC	6031	4.95	4.63	33.7	9.58	1.56031	0.483298539	0.935353535	37	12	2	4243
VC_ETH4243	2022	VC_43	VC	7001	2.37	1.26	31.84782609	3.63	0.401282609	0.347107438	0.53164557	5	14	3	4243
VC_ETH4243	2022	VC_43	VC	8092	2.16	1	35.8	3.16	0.358	0.316455696	0.462962963	21	17	4	4243
VC_ETH4243	2022	VC_43	VC	9102	2.84	1.36	35.55555556	4.2	0.483555556	0.323809524	0.478873239	13	19	5	4243
VC_ETH4243	2022	VC_43	VC	10105	1.8	1.59	32.82142857	3.39	0.521860714	0.469026549	0.883333333	12	21	6	4243
