plot_name,date,height_quantile_95
R1_#54_HM_4494,20220415,
R1_#47_4724,20220415,0.08241420984268188
R1_WT_FEC_4788,20220415,0.07200329005718231
R1_WT_FEC_4798,20220415,0.08596628904342651
R1_#2-6_B33::IbSUS_4616,20220415,0.04413894936442375
R1_#2-25_AGPaseRNAi_165,20220415,0.03536953032016754
R1_#57_IPT7+ACL5_175,20220415,0.07109861820936203
R1_#2-18_AAP1_4358,20220415,0.05456986278295517
R1_WT_FEC_4782,20220415,0.04807295650243759
R1_#2-20_MeSUS1::IbSUS_296,20220415,0.07079841196537018
R1_#2-14_mitoGS_4275,20220415,0.06965413689613342
R1_#2-14_mitoGS_4267,20220415,0.04193924367427826
R1_#46_4389,20220415,0.102522112429142
R1_#2-18_AAP1_4354,20220415,0.07480946183204651
R1_VC_4239,20220415,0.07740404456853867
R1_#58_IPT7_95,20220415,0.07941296696662903
R1_#2-7_AVP1_4638,20220415,0.1426241099834442
R1_#2-20_MeSUS1::IbSUS_285,20220415,0.10230613499879837
R1_#54_HM_4490,20220415,0.08312547951936722
R1_#57_IPT7+ACL5_176,20220415,0.11491363495588303
R1_#47_4763,20220415,0.10913033038377762
R1_#2-5_35S::glgC_4598,20220415,0.11712700873613358
R1_#2-7_AVP1_4644,20220415,0.07445024698972702
R1_#2-14_mitoGS_4268,20220415,0.10396473854780197
R1_#2-25_AGPaseRNAi_154,20220415,0.09322450309991837
R1_#58_IPT7_188,20220415,0.09498028457164764
R1_#2-6_B33::IbSUS_4610,20220415,0.09369610995054245
R1_#48_mitoGS+AAP1_4440,20220415,0.08791828900575638
R1_WT_60444,20220415,0.0949481651186943
R1_#2-7_AVP1_4585,20220415,0.0914493054151535
R1_#46_4374,20220415,0.1422366052865982
R1_#2-20_MeSUS1::IbSUS_293,20220415,0.08638227730989456
R1_#2-20_MeSUS1::IbSUS_291,20220415,0.09067397564649582
R1_#44_4681,20220415,0.09506850689649582
R1_#57_IPT7+ACL5_180,20220415,0.07786170393228531
R1_VC_4243,20220415,0.0961429625749588
R1_#59_ACL5_12,20220415,0.07745201140642166
R1_#2-25_AGPaseRNAi_61,20220415,0.06206732988357544
R1_#48_mitoGS+AAP1_4435,20220415,0.07250706106424332
R1_#2-20_MeSUS1::IbSUS_279,20220415,0.06441990286111832
R1_#2-8_AKT2_4262,20220415,0.0979410707950592
R1_#2-5_35S::glgC_4600,20220415,0.04566619545221329
R1_#2-25_AGPaseRNAi_171,20220415,0.06070967763662338
R1_#2-7_AVP1_4648,20220415,0.04681483656167984
R1_#46_4393,20220415,0.06127217411994934
R1_#2-7_AVP1_4642,20220415,0.04335707053542137
R1_#2-18_AAP1_4349,20220415,0.06088386848568916
R1_#2-5_35S::glgC_4607,20220415,0.026834094896912575
R1_#44_4685,20220415,0.03253193199634552
R1_#2-7_AVP1_4587,20220415,0.0447513721883297
R1_#2-5_35S::glgC_4596,20220415,0.06113431602716446
R1_#44_4668,20220415,0.04658317193388939
R1_#2-18_AAP1_4359,20220415,0.04153630509972572
R1_#59_ACL5_31,20220415,0.09251774102449417
R1_#46_4375,20220415,0.11358935385942459
R1_#58_IPT7_94,20220415,0.0472785048186779
R1_#47_4748,20220415,0.06275232136249542
R1_#2-5_35S::glgC_4592,20220415,0.11585434526205063
R1_#48_mitoGS+AAP1_4459,20220415,0.004928055219352245
R1_#44_4719,20220415,0.030008589848876
R1_#2-5_35S::glgC_4590,20220415,0.0385601744055748
R1_#44_4718,20220415,0.046611394733190536
R1_#44_4701,20220415,0.08059916645288467
R1_#2-20_MeSUS1::IbSUS_276,20220415,0.09861291944980621
R1_VC_4218,20220415,0.06905746459960938
R1_#57_IPT7+ACL5_2,20220415,0.07401275634765625
R1_#2-8_AKT2_4255,20220415,0.07316222041845322
R1_#2-8_AKT2_4255,20220415,0.07642266899347305
R1_#57_IPT7+ACL5_179,20220415,0.06851156800985336
R1_#2-8_AKT2_4266,20220415,0.07519035786390305
R1_#58_IPT7_194,20220415,0.05849067494273186
R1_WT_FEC_4792,20220415,0.06483205407857895
R1_#2-6_B33::IbSUS_4613,20220415,0.054019663482904434
R1_#57_IPT7+ACL5_198,20220415,0.08190686255693436
R1_#2-7_AVP1_4647,20220415,0.07767108082771301
R1_#2-25_AGPaseRNAi_172,20220415,0.06906554847955704
R1_#59_ACL5_14,20220415,0.12664352357387543
R1_#2-18_AAP1_4353,20220415,0.09758123010396957
R1_#2-6_B33::IbSUS_4611,20220415,0.09410275518894196
R1_#2-15_Ppase_4522,20220415,0.08707902580499649
R1_#2-8_AKT2_4264,20220415,0.09041041880846024
R1_#2-6_B33::IbSUS_4619,20220415,0.0853007510304451
R1_#58_IPT7_38,20220415,0.10294883698225021
R1_VC_4234,20220415,0.09171710163354874
R1_#2-25_AGPaseRNAi_156,20220415,0.09363723546266556
R1_#47_4726,20220415,0.08876854181289673
R1_#48_mitoGS+AAP1_4448,20220415,0.06647052615880966
R1_#2-7_AVP1_4641,20220415,0.10820481926202774
R1_#47_4754,20220415,0.147363543510437
R1_#2-15_Ppase_4504,20220415,0.0709296464920044
R1_VC_4221,20220415,0.06657394021749496
R1_#58_IPT7_203,20220415,0.08601123094558716
R1_#59_ACL5_49,20220415,0.06301622092723846
R1_#2-14_mitoGS_4269,20220415,0.06073115020990372
R1_#2-7_AVP1_4580,20220415,0.05448649078607559
R1_#2-15_Ppase_4294,20220415,0.10962628573179245
R1_#2-15_Ppase_4511,20220415,0.03824616223573685
R1_#59_ACL5_15,20220415,0.019150596112012863
R1_#2-8_AKT2_4261,20220415,0.06029225140810013
R1_#46_4369,20220415,0.06030218303203583
R1_#46_4401,20220415,0.10753205418586731
