plot_name,no_plant,date,height_quantile_95
2024_EF1-1_C2-14_ETH4275_S,plant_1,20240517,0.9720126986503601
2024_EF1-1_C2-14_ETH4275_S,plant_2,20240517,0.9370735287666321
2024_EF1-1_C2-14_ETH4275_S,plant_3,20240517,0.9332671165466309
2024_EF1-1_C2-14_ETH4275_S,plant_4,20240517,0.9958149194717407
2024_EF1-1_C2-14_ETH4275_S,plant_5,20240517,1.1298085451126099
2024_EF1-1_C2-14_ETH4275_S,plant_6,20240517,0.6283788084983826
2024_EF1-1_C2-14_ETH4275_S,plant_7,20240517,0.5941165089607239
2024_EF1-1_C2-14_ETH4275_S,plant_8,20240517,0.5689256191253662
2024_EF1-1_C2-14_ETH4275_S,plant_9,20240517,0.8516002893447876
2024_EF1-2_C2-8_ETH4255_S,plant_1,20240517,0.8967959880828857
2024_EF1-2_C2-8_ETH4255_S,plant_2,20240517,0.9138190746307373
2024_EF1-2_C2-8_ETH4255_S,plant_3,20240517,1.0504601001739502
2024_EF1-2_C2-8_ETH4255_S,plant_4,20240517,0.9875686764717102
2024_EF1-2_C2-8_ETH4255_S,plant_5,20240517,0.8025197982788086
2024_EF1-2_C2-8_ETH4255_S,plant_6,20240517,0.4664665162563324
2024_EF1-2_C2-8_ETH4255_S,plant_7,20240517,0.5432991981506348
2024_EF1-2_C2-8_ETH4255_S,plant_8,20240517,1.1003477573394775
2024_EF1-2_C2-8_ETH4255_S,plant_9,20240517,0.6599769592285156
2024_EF1-3_C2-8_ETH4265_S,plant_1,20240517,0.8005689382553101
2024_EF1-3_C2-8_ETH4265_S,plant_2,20240517,0.8137437701225281
2024_EF1-3_C2-8_ETH4265_S,plant_3,20240517,0.5072991251945496
2024_EF1-3_C2-8_ETH4265_S,plant_4,20240517,0.7159767746925354
2024_EF1-3_C2-8_ETH4265_S,plant_5,20240517,0.4132770299911499
2024_EF1-3_C2-8_ETH4265_S,plant_6,20240517,0.6104710698127747
2024_EF1-3_C2-8_ETH4265_S,plant_7,20240517,0.6361463069915771
2024_EF1-3_C2-8_ETH4265_S,plant_8,20240517,0.6393498778343201
2024_EF1-3_C2-8_ETH4265_S,plant_9,20240517,0.5192602872848511
2024_EF1-4_C2-14_ETH4272_S,plant_1,20240517,0.8346330523490906
2024_EF1-4_C2-14_ETH4272_S,plant_2,20240517,0.7476251721382141
2024_EF1-4_C2-14_ETH4272_S,plant_3,20240517,0.751647412776947
2024_EF1-4_C2-14_ETH4272_S,plant_4,20240517,0.6064907908439636
2024_EF1-4_C2-14_ETH4272_S,plant_5,20240517,0.7637639045715332
2024_EF1-4_C2-14_ETH4272_S,plant_6,20240517,0.6449702382087708
2024_EF1-4_C2-14_ETH4272_S,plant_7,20240517,0.815638542175293
2024_EF1-4_C2-14_ETH4272_S,plant_8,20240517,0.9726963043212891
2024_EF1-4_C2-14_ETH4272_S,plant_9,20240517,0.8978767395019531
2024_EF1-5_VC_ETH4234_S,plant_1,20240517,0.6228877902030945
2024_EF1-5_VC_ETH4234_S,plant_2,20240517,0.5579120516777039
2024_EF1-5_VC_ETH4234_S,plant_3,20240517,0.6177635788917542
2024_EF1-5_VC_ETH4234_S,plant_4,20240517,0.49504196643829346
2024_EF1-5_VC_ETH4234_S,plant_5,20240517,0.28185713291168213
2024_EF1-5_VC_ETH4234_S,plant_6,20240517,0.21891580522060394
2024_EF1-5_VC_ETH4234_S,plant_7,20240517,0.4775512218475342
2024_EF1-5_VC_ETH4234_S,plant_8,20240517,0.6136341094970703
2024_EF1-5_VC_ETH4234_S,plant_9,20240517,0.5137887597084045
2024_EF1-6_C2-18_ETH4349_S,plant_1,20240517,0.7239736318588257
2024_EF1-6_C2-18_ETH4349_S,plant_2,20240517,0.564368486404419
2024_EF1-6_C2-18_ETH4349_S,plant_3,20240517,0.1415151059627533
2024_EF1-6_C2-18_ETH4349_S,plant_4,20240517,0.43532848358154297
2024_EF1-6_C2-18_ETH4349_S,plant_5,20240517,0.47232934832572937
2024_EF1-6_C2-18_ETH4349_S,plant_6,20240517,0.33997300267219543
2024_EF1-6_C2-18_ETH4349_S,plant_7,20240517,0.5680723190307617
2024_EF1-6_C2-18_ETH4349_S,plant_8,20240517,0.5439424514770508
2024_EF1-6_C2-18_ETH4349_S,plant_9,20240517,0.437065988779068
2024_EF1-7_C2-18_ETH4354_S,plant_1,20240517,0.2022770345211029
2024_EF1-7_C2-18_ETH4354_S,plant_2,20240517,0.37653496861457825
2024_EF1-7_C2-18_ETH4354_S,plant_3,20240517,0.3933829367160797
2024_EF1-7_C2-18_ETH4354_S,plant_4,20240517,0.2966547906398773
2024_EF1-7_C2-18_ETH4354_S,plant_5,20240517,0.10409226268529892
2024_EF1-7_C2-18_ETH4354_S,plant_6,20240517,0.3705596923828125
2024_EF1-7_C2-18_ETH4354_S,plant_7,20240517,0.12983448803424835
2024_EF1-7_C2-18_ETH4354_S,plant_8,20240517,0.3909032344818115
2024_EF1-7_C2-18_ETH4354_S,plant_9,20240517,0.46278610825538635
2024_EF1-8_C2-18_ETH4358_S,plant_1,20240517,0.6153222918510437
2024_EF1-8_C2-18_ETH4358_S,plant_2,20240517,0.9403076171875
2024_EF1-8_C2-18_ETH4358_S,plant_3,20240517,0.8878294825553894
2024_EF1-8_C2-18_ETH4358_S,plant_4,20240517,0.933724582195282
2024_EF1-8_C2-18_ETH4358_S,plant_5,20240517,0.8520224094390869
2024_EF1-8_C2-18_ETH4358_S,plant_6,20240517,0.9437416791915894
2024_EF1-8_C2-18_ETH4358_S,plant_7,20240517,0.6911974549293518
2024_EF1-8_C2-18_ETH4358_S,plant_8,20240517,0.7934553027153015
2024_EF1-8_C2-18_ETH4358_S,plant_9,20240517,0.7743375301361084
2024_EF1-9_VC_ETH4220_S,plant_1,20240517,0.92524254322052
2024_EF1-9_VC_ETH4220_S,plant_2,20240517,0.8502718806266785
2024_EF1-9_VC_ETH4220_S,plant_3,20240517,0.9655107259750366
2024_EF1-9_VC_ETH4220_S,plant_4,20240517,1.0803556442260742
2024_EF1-9_VC_ETH4220_S,plant_5,20240517,0.9400473833084106
2024_EF1-9_VC_ETH4220_S,plant_6,20240517,1.0395662784576416
2024_EF1-9_VC_ETH4220_S,plant_7,20240517,0.7696777582168579
2024_EF1-9_VC_ETH4220_S,plant_8,20240517,0.8505799770355225
2024_EF1-9_VC_ETH4220_S,plant_9,20240517,0.8898277282714844
2024_EF1-10_C2-8_ETH4261_S,plant_1,20240517,0.7803798913955688
2024_EF1-10_C2-8_ETH4261_S,plant_2,20240517,1.0264939069747925
2024_EF1-10_C2-8_ETH4261_S,plant_3,20240517,0.7812038660049438
2024_EF1-10_C2-8_ETH4261_S,plant_4,20240517,0.45991066098213196
2024_EF1-10_C2-8_ETH4261_S,plant_5,20240517,0.7326457500457764
2024_EF1-10_C2-8_ETH4261_S,plant_6,20240517,0.7865321636199951
2024_EF1-10_C2-8_ETH4261_S,plant_7,20240517,0.6374016404151917
2024_EF1-10_C2-8_ETH4261_S,plant_8,20240517,0.7558508515357971
2024_EF1-10_C2-8_ETH4261_S,plant_9,20240517,0.5459376573562622
2024_EF1-11_C46_ETH4374_S,plant_1,20240517,0.3607052266597748
2024_EF1-11_C46_ETH4374_S,plant_2,20240517,0.6330580711364746
2024_EF1-11_C46_ETH4374_S,plant_3,20240517,0.6729556322097778
2024_EF1-11_C46_ETH4374_S,plant_4,20240517,0.8371900916099548
2024_EF1-11_C46_ETH4374_S,plant_5,20240517,0.523777425289154
2024_EF1-11_C46_ETH4374_S,plant_6,20240517,0.606286346912384
2024_EF1-11_C46_ETH4374_S,plant_7,20240517,0.8220579624176025
